ind_id,ind_definition,reportyear,race_eth_code,race_eth_name,geotype,geotypevalue,geoname,county_name,county_fips,region_name,region_code,strata_one_code,strata_one_name,strata_two_code,strata_two_name,numerator,denominator,estimate,ll_95ci,ul_95ci,se,rse,ca_decile,ca_rr,version
75,Modified retail food environment index,2017,9,Total,CT,6001403501,4035.01,Alameda,6001,Bay Area,1,,,,,15,95,15.78947368,8.456818103,23.12212927,3.741150807,23.69395511,,0.882669686,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001403502,4035.02,Alameda,6001,Bay Area,1,,,,,10,61,16.39344262,7.102786048,25.6840992,4.740130906,28.91479853,,0.916433007,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001403600,4036,Alameda,6001,Bay Area,1,,,,,9,57,15.78947368,6.323056034,25.25589133,4.829804924,30.58876452,,0.882669686,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001403701,4037.01,Alameda,6001,Bay Area,1,,,,,9,67,13.43283582,5.267404717,21.59826693,4.166036278,31.01382562,,0.750927942,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001403702,4037.02,Alameda,6001,Bay Area,1,,,,,7,38,18.42105263,6.095382423,30.74672284,6.288607249,34.13815364,,1.0297813,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001403800,4038,Alameda,6001,Bay Area,1,,,,,4,29,13.79310345,1.242659903,26.34354699,6.403287523,46.42383454,,0.771067771,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001403900,4039,Alameda,6001,Bay Area,1,,,,,7,45,15.55555556,4.965990591,26.14512052,5.402839268,34.73253815,,0.869593098,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001404000,4040,Alameda,6001,Bay Area,1,,,,,6,42,14.28571429,3.702709041,24.86871953,5.399492472,37.7964473,,0.798605906,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001404101,4041.01,Alameda,6001,Bay Area,1,,,,,4,46,8.695652174,0.552848485,16.83845586,4.154491678,47.7766543,,0.486107943,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001404102,4041.02,Alameda,6001,Bay Area,1,,,,,5,43,11.62790698,2.046480123,21.20933383,4.888483089,42.04095456,,0.650028063,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001404200,4042,Alameda,6001,Bay Area,1,,,,,7,39,17.94871795,5.904373421,29.99306248,6.145073739,34.2368394,,1.003376651,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001404300,4043,Alameda,6001,Bay Area,1,,,,,8,36,22.22222222,8.641391707,35.80305274,6.928995161,31.18047822,,1.242275854,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001404400,4044,Alameda,6001,Bay Area,1,,,,,1,11,9.090909091,0,26.07987886,8.66784172,95.34625892,,0.508203758,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001404501,4045.01,Alameda,6001,Bay Area,1,,,,,2,12,16.66666667,0,37.75290933,10.75828707,64.54972244,,0.931706891,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001404502,4045.02,Alameda,6001,Bay Area,1,,,,,2,14,14.28571429,0,32.61601707,9.352195296,65.46536707,,0.798605906,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001404600,4046,Alameda,6001,Bay Area,1,,,,,2,12,16.66666667,0,37.75290933,10.75828707,64.54972244,,0.931706891,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001404700,4047,Alameda,6001,Bay Area,1,,,,,2,14,14.28571429,0,32.61601707,9.352195296,65.46536707,,0.798605906,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001404800,4048,Alameda,6001,Bay Area,1,,,,,6,16,37.5,13.777977,61.222023,12.10307296,32.27486122,,2.096340504,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001404900,4049,Alameda,6001,Bay Area,1,,,,,9,23,39.13043478,19.18472067,59.0761489,10.17638475,26.00631659,,2.187485743,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001405000,4050,Alameda,6001,Bay Area,1,,,,,9,38,23.68421053,10.16656885,37.2018522,6.896755958,29.11963627,,1.324004529,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001405100,4051,Alameda,6001,Bay Area,1,,,,,6,25,24,7.258341301,40.7416587,8.541662602,35.59026084,,1.341657922,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001405200,4052,Alameda,6001,Bay Area,1,,,,,11,48,22.91666667,11.02640479,34.80692855,6.066460142,26.47182608,,1.281096974,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001405301,4053.01,Alameda,6001,Bay Area,1,,,,,10,42,23.80952381,10.92830004,36.69074758,6.572052946,27.60262237,,1.331009844,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001405302,4053.02,Alameda,6001,Bay Area,1,,,,,10,33,30.3030303,14.62292122,45.98313938,8.000055653,26.40018365,,1.694012528,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001405401,4054.01,Alameda,6001,Bay Area,1,,,,,11,40,27.5,13.66237918,41.33762082,7.060010623,25.6727659,,1.537316369,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001405402,4054.02,Alameda,6001,Bay Area,1,,,,,13,40,32.5,17.98491302,47.01508698,7.405656622,22.78663576,,1.816828437,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001405500,4055,Alameda,6001,Bay Area,1,,,,,14,48,29.16666667,16.30794809,42.02538525,6.560570704,22.49338527,,1.630487058,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001405600,4056,Alameda,6001,Bay Area,1,,,,,5,20,25,6.022381604,43.9776184,9.682458366,38.72983346,,1.397560336,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001405700,4057,Alameda,6001,Bay Area,1,,,,,10,27,37.03703704,18.82179754,55.25227653,9.29348954,25.09242176,,2.070459757,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001405800,4058,Alameda,6001,Bay Area,1,,,,,10,27,37.03703704,18.82179754,55.25227653,9.29348954,25.09242176,,2.070459757,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001405901,4059.01,Alameda,6001,Bay Area,1,,,,,12,32,37.5,20.72599668,54.27400332,8.558164961,22.82177323,,2.096340504,11/15/2017
